Unnamed: 0,key,params,f1_score
81,XGBClassifier,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",0.5471550720890613
78,XGBClassifier,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 200}",0.5466731434615831
57,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 4, 'n_estimators': 100}",0.5464835554387405
6,GradientBoostingClassifier,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",0.5461919696916308
34,GradientBoostingClassifier,"{'learning_rate': 1.0, 'max_depth': 2, 'n_estimators': 1000}",0.5455863388247374
32,GradientBoostingClassifier,"{'learning_rate': 1.0, 'max_depth': 2, 'n_estimators': 100}",0.5454189765594766
33,GradientBoostingClassifier,"{'learning_rate': 1.0, 'max_depth': 2, 'n_estimators': 200}",0.5453562084872826
108,XGBClassifier,"{'learning_rate': 1.0, 'max_depth': 2, 'n_estimators': 200}",0.5452639541630115
58,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 4, 'n_estimators': 200}",0.5449349187395245
31,GradientBoostingClassifier,"{'learning_rate': 1.0, 'max_depth': 2, 'n_estimators': 50}",0.5446448335004935
104,XGBClassifier,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 1000}",0.5443860649697599
56,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 4, 'n_estimators': 50}",0.5440568667932596
72,RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 100}",0.5434524345433439
30,GradientBoostingClassifier,"{'learning_rate': 1.0, 'max_depth': 2, 'n_estimators': 25}",0.5433267328580034
71,RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 50}",0.5418613967742595
116,XGBClassifier,"{'learning_rate': 1.0, 'max_depth': 4, 'n_estimators': 50}",0.5418531162667466
24,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000}",0.5416637880715273
2,GradientBoostingClassifier,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 100}",0.5400210379720176
112,XGBClassifier,"{'learning_rate': 1.0, 'max_depth': 3, 'n_estimators': 100}",0.538297655156692
130,SVC,"{'C': 1, 'gamma': 0.01}",0.5380757109477965
77,XGBClassifier,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 100}",0.5379073023300983
5,GradientBoostingClassifier,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 25}",0.5375528211888209
